类型,扫描提交,发现日期,代码,公司,事件,快照状态,后续报告,说明
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:688350,富淼科技,约6.9584亿元收购沃特泰科51.1649%股权并取得控制权，交割推进使合并范围与资产负债边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:688432,有研硅,筹划关联重大资产重组，拟收购两家半导体材料公司剩余股权并募集配套资金，合并范围、稀释和关联交易边界值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,6ce4dc34da9557deda001d675f1a5386b1ac2189,2026-08-28,CN:300005,探路者,向特定对象发行已获证监会注册：实际控制人控制主体拟按7.00元认购不超过1.4364亿股、募集不超过10.05亿元并全部补流，发行上限约占原股本30%，资本结构与稀释发生重大变化。,candidate,,event-scan-2026-08-28-183302
首次研究候选,6ce4dc34da9557deda001d675f1a5386b1ac2189,2026-08-28,CN:300355,蒙草生态,二连浩特PPP项目提前终止并形成5.1285亿元债务重组，首笔3.2278亿元依赖专项债资金、余款分期至2029年；大额政府债权回收将实质改变现金和资产质量。,candidate,,event-scan-2026-08-28-183302
首次研究候选,6ce4dc34da9557deda001d675f1a5386b1ac2189,2026-08-28,CN:300751,迈为股份,控股子公司为总投资15亿元的半导体装备研发制造基地取得83亩工业用地并签署出让合同，项目从规划进入实质建设准备，业务边界和资本开支显著扩大。,candidate,,event-scan-2026-08-28-183302
首次研究候选,5ec68f8a52c88cd53a7e033aebc1dfa34f24f774,2026-08-28,CN:003002,壶化股份,"向特定对象发行最终落地：发行4,280.13万股、价格13.69元、募集净额5.75亿元，约相当于原市值两成；股本与资本结构发生实质变化，值得完整研究。",candidate,,event-scan-2026-08-28-003252
首次研究候选,5ec68f8a52c88cd53a7e033aebc1dfa34f24f774,2026-08-28,CN:300142,沃森生物,拟向腾云新沃募资不超过22.03亿元、发行不超过2.0798亿股，并将由无控股股东状态变为腾云新沃控股、黄涛实际控制；控制权、治理和稀释均发生重大变化，值得完整研究。,candidate,,event-scan-2026-08-28-003252
首次研究候选,5ec68f8a52c88cd53a7e033aebc1dfa34f24f774,2026-08-28,CN:300889,爱克股份,拟以22亿元发行股份及现金收购东莞硅翔100%股权并配套融资，标的评估增值139.79%；备考收入和利润结构将大幅改变，构成重大资产重组，值得完整研究。,candidate,,event-scan-2026-08-28-003252
首次研究候选,5ec68f8a52c88cd53a7e033aebc1dfa34f24f774,2026-08-28,CN:600282,南钢股份,此前以9.20亿元竞得的范桥铁矿已由探矿权转为20年采矿权，资源储量、后续建设资本开支与产业链边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-28-003252
首次研究候选,5ec68f8a52c88cd53a7e033aebc1dfa34f24f774,2026-08-28,CN:603889,新澳股份,定增申请获受理，拟募资不超过10.19亿元、发行上限为现股本30%，用于越南3万锭扩产、研发中心及补流；海外产能和资本结构变化值得完整研究。,candidate,,event-scan-2026-08-28-003252
首次研究候选,a054a7bcbc7b7464d7284a713e66dfe277b00dc2,2026-08-27,CN:301599,理奇智能,公司新签投资合作协议，拟建设总投资20亿元的锂电设备智能制造基地及研发中心，其中一期10亿元；该投资相对公司既有利润与资本规模足以改变产能、资本开支和业务边界，值得完整研究。,candidate,,event-scan-2026-08-27-183244
首次研究候选,a054a7bcbc7b7464d7284a713e66dfe277b00dc2,2026-08-27,CN:920207,众诚科技,全资子公司落地河南省级政府采购系列合同，累计含税金额2.9167亿元，合同规模相对公司历史盈利和市值显著，可能改变收入、回款与政务信息化业务判断，值得完整研究。,candidate,,event-scan-2026-08-27-183244
首次研究候选,2d19b14ac56ee916fc470a86615c64c58c2523b4,2026-08-27,CN:000952,广济药业,"深交所已受理公司向控股股东长江产业集团定向发行申请：募资上限6亿元、预计发行94,936,708股，全部用于偿还借款和补充流动资金；按上限发行后控股股东持股将由25.46%升至41.58%。在2026年一季度资产负债率74.12%、持续亏损和审计风险背景下，这一融资及控制权集中变化足以重塑普通股资本结构、偿债能力、稀释和治理判断，值得按统一标准完成正式研究；受理本身不代表风险已经消除。",candidate,,event-scan-2026-08-27-1225515705
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:000881,中广核技,公司向特定对象发行申请获深交所受理，拟募集8.5亿至12.5亿元用于补充流动资金或偿还债务，发行数量上限约占现有股本30%；相对当前亏损与市值规模，融资将显著改变流动性、杠杆和每股稀释风险。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:002072,凯瑞德,公司以1.15亿元取得金矿标的34%股权和51%表决权，标的采矿权评估增值约2069%，且矿山仍停产、复产证照和资金存在不确定性；该交易实质改变业务边界并引入高估值矿权、控制权和资本开支风险。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:002653,海思科,"公司对外许可临床前自免资产，协议含约7,589万美元首付款（4,000万美元现金及约3,589万美元Sentivera股权）和最高14.6亿美元里程碑付款；该交易显著改变管线商业化路径、关联治理与或有价值。",candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:300174,元力股份,公司恢复审核并修订收购方案，拟以约4.512亿元收购同晟新材99.9955%股权并募集配套资金；交易将取得二氧化硅业务控制权并引入业绩承诺、整合和稀释风险，足以改变业务边界。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:300436,广生堂,公司向特定对象发行落地，实际募资7.23亿元、发行875.94万股、发行价82.54元，资金用于创新药研发和补充流动资金；对连续亏损生物医药公司的研发跑道、稀释和管线价值均有实质影响。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:300816,艾可蓝,公司拟购买不超过10亿元算力设备并签署总价约11.09亿元、期限60个月的算力资源服务合同；相对现有业务和市值规模，该安排实质改变经营边界、资本开支、客户信用和现金流风险。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:605008,长鸿高科,公司修订重大资产重组预案，拟以发行股份、可转债及现金收购广西长科100%股权并募集配套资金；交易作价、审计评估和业绩承诺尚未确定，但拟取得60万吨合成树脂产能，业务边界和稀释风险显著。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:688372,伟测科技,公司20亿元可转债申请获上交所受理，资金拟投向上海和西南总部基地、AI算力芯片测试产能，并有5亿元用于偿债补流；相对持续负自由现金流，扩产融资将显著影响稀释、杠杆和资本回报。,candidate,,event-a2-20260827-063457
首次研究候选,e7557fa2530a9aea7a108f226f8a9b188abd2f74,2026-08-27,CN:688531,日联科技,公司并购申请进入审核问询回复阶段，拟以9.359亿元收购菲莱测试100%股权并募集配套资金，标的2026—2027年净利润承诺为0.40亿元和0.60亿元；交易显著影响业务协同、稀释和商誉风险。,candidate,,event-a2-20260827-063457
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:002164,宁波东力,拟募资不超过10亿元，其中7亿元投向年产200万台精密减速器项目，发行股数上限为现股本30%；业务边界与资本结构发生重大变化，值得完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:300680,隆盛科技,拟发行不超过7.13亿元可转债，主要投向新能源汽车电驱核心部件扩产与卫星精密部件项目；新增债务、潜在稀释和业务扩张需要完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:301193,家联科技,拟募资不超过3亿元建设境内外3D打印材料产能并偿还借款，发行股数上限为现股本30%；产能、海外布局与资本结构变化值得完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:301376,致欧科技,拟发行不超过5.14亿元可转债建设欧洲仓储物流枢纽和数字化基础设施；跨境履约能力、债务与潜在稀释均需完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:600388,龙净环保,向控股股东紫金矿业实际发行1.422亿股，发行价14.06元，募集净额19.87亿元；股本、关联方持股和资本结构已实质变化，值得完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:603955,大千生态,向第四纪投资实际发行约2817.5万股，募集净额约7.11亿元且股份锁定36个月；控制权相关股本与资本结构落地，值得完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:605358,立昂微,签署约30亿元12英寸轻掺衬底片及硅外延片项目框架协议，固定资产投资约29亿元、建设期5年；资本开支与产品结构可能显著变化，值得完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:688175,高凌信息,拟以发行股份及现金方式收购凯睿星通89.49%股权，交易作价8.05亿元并配套融资不超过0.96亿元，构成重大资产重组；业务和股本结构需完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:688308,XD欧科亿,拟以1.75亿元收购加2.5亿元增资取得永鑫精工51%并纳入合并报表，预计形成约1.53亿元商誉；并表经营、现金流和整合风险值得完整研究。,candidate,,event-scan-2026-08-27-003250
首次研究候选,97428cf97bcea93a2b617f09b76dc5d938df1907,2026-08-26,CN:300380,安硕信息,"公司完成24,681,201股定增，发行价24.31元、募集净额5.90亿元；发行后历史每股收益口径由0.2152元摊薄至0.1827元，股本与现金资本结构已发生实质变化。",candidate,,event-a2-20260826-183616
首次研究候选,97428cf97bcea93a2b617f09b76dc5d938df1907,2026-08-26,CN:301082,久盛电气,"公司4.267亿元定增申请获受理，发行股数上限88,260,577股、约为发行前股本30%，资金拟投向井下电加热系统、电线电缆智能工厂和补流，业务与每股资本结构变化重大。",candidate,,event-a2-20260826-183616
首次研究候选,97428cf97bcea93a2b617f09b76dc5d938df1907,2026-08-26,CN:301252,同星科技,公司拟发行不超过6.50亿元可转债，投向4.00亿元算力中心温控、1.30亿元具身智能温控与精密部件产业化及1.20亿元补流，融资规模和新业务产能足以重塑资本与经营结构。,candidate,,event-a2-20260826-183616
首次研究候选,97428cf97bcea93a2b617f09b76dc5d938df1907,2026-08-26,CN:301628,强达电路,公司已完成5.50亿元可转债发行并取得实际融资，相对原55亿元基线市值和负自由现金流约束显著，债务、未来转股稀释与扩产回报需要完整研究。,candidate,,event-a2-20260826-183616
首次研究候选,c2ccb5c74d9174053e0ed08ff69c9a7a0f6e2210,2026-08-26,CN:002510,天汽模,修订后的重大资产重组方案拟以18.30亿元收购东实股份60%股权，并募集不超过7.32亿元配套资金；标的2025年收入44.81亿元、归母净利润2.15亿元，均显著高于上市公司原有规模，交易将实质改变业务、股本、负债和商誉结构，值得完整核验定价、协同、稀释与整合风险。,candidate,,event-a2-20260826-063233
首次研究候选,8867879593ef6fad3b8b565859c0a54b15fc0702,2026-08-26,CN:600960,渤海汽车,27.10亿元重大资产重组完成，收购三家公司权益并新增约6.697亿股，总股本由约9.505亿股增至16.202亿股；资产、股本和业务边界已发生根本变化。,candidate,,event-a2-20260826-0055
首次研究候选,8867879593ef6fad3b8b565859c0a54b15fc0702,2026-08-26,CN:603023,威帝股份,重大资产购买完成过户，玖星精密纳入合并范围，交易付款规模约11亿元；合并边界与盈利结构发生重大变化。,candidate,,event-a2-20260826-0055
首次研究候选,8867879593ef6fad3b8b565859c0a54b15fc0702,2026-08-26,CN:603396,金辰股份,公司拟投资约10亿元建设半导体装备项目，规模约为基线市值三分之一；业务结构和资本配置将发生显著变化。,candidate,,event-a2-20260826-0055
首次研究候选,a2217c008332adffdb5ba8cc093e61bdab739e9b,2026-08-25,CN:300489,光智科技,公司已完成对广东先锐科技3.01亿元关联增资交割并取得50.0832%控制权，新增III-V族化合物材料和磷化铟衬底业务并纳入合并报表；这项已落地的关联收购实质改变业务结构，值得完整核验标的经营基础、定价公允性、资金回报和治理风险。,candidate,,event-a2-20260825-183836
首次研究候选,6954e2a0bedab873318e503190caab2a010960aa,2026-08-25,CN:300589,江龙船艇,"公司新签一艘40米公务船重大销售合同，合同总价8,700万美元，按签约日汇率折合约5.90亿元，相当于2025年度营业收入的83.99%；合同预计在生效后26个月内交付，若履行将显著改变未来年度订单、收入与现金流边界，值得完整研究。",candidate,,event-a2-20260825-123709
首次研究候选,6954e2a0bedab873318e503190caab2a010960aa,2026-08-25,CN:300769,德方纳米,公司不超过29亿元的向特定对象发行已获深交所受理，其中21.5亿元拟投向20万吨/年磷酸盐新材料一体化项目、7.5亿元补充流动资金；融资规模约为基线总市值的四分之一，且公司仍处亏损修复期，新增产能、摊薄与现金流影响足以要求完整研究。,candidate,,event-a2-20260825-123709
首次研究候选,6954e2a0bedab873318e503190caab2a010960aa,2026-08-25,CN:300835,龙磁科技,公司不超过7.6亿元的向特定对象发行已获深交所受理，拟投入越南龙磁二期、芯片电感智造项目并补充流动资金及偿还贷款；发行上限为现有股本30%，新增海外磁性材料与AI服务器芯片电感产能及潜在摊薄已越过原先业务结构与自由现金流边界，值得完整研究。,candidate,,event-a2-20260825-123709
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:300901,中胤时尚,公司拟以2.49亿元将芯片设计企业英诺达持股由6.3830%提高至最高40.0339%，虽不并表但相对原主业和公司规模已构成显著业务结构变化。,candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:301413,安培龙,"公司完成9,469,472股定增，募集净额5.34亿元，用于压力/力/MEMS传感器产线及补充流动资金，新增股本约为发行前7.40%，资本与产能结构显著改变。",candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:600123,兰花科创,总投资39.62亿元的煤化工升级项目已进入2026年末投产节点，并同步停止两家旧化工化肥企业生产，产能、成本和现金流结构将发生重大变化。,candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:600984,建设机械,公司拟通过发行股份及支付现金收购蒲城清洁能源化工100%股权并配套融资，交易旨在改变连续四年亏损和退市风险，属于根本性业务与资产结构变化。,candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:601022,宁波远洋,"公司完成145,403,704股定增，募集净额10.79亿元；新增股本和船队相关资本投入规模足以改变每股资本结构与后续现金回报。",candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:603291,联合水务,公司中标沙特污水处理第11包15年运维合同，预计总收入11.406亿沙特里亚尔，合同规模相对现有经营体量重大并扩展海外长期运营业务。,candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:603333,福华尚纬,"公司完成123,633,871股定增，募集净额8.56亿元，新增股份约占发行前股本16.59%，融资规模和摊薄足以要求重新研究经营与每股价值。",candidate,,event-scan-20260825T003625
首次研究候选,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:688116,天奈科技,"公司拟以2,550万美元出售北美主体51%股权并使其出表，以适应美国政策限制；海外产能、合并范围、担保和未来融资安排均发生实质变化。",candidate,,event-scan-20260825T003625
首次研究候选,e7db9ab4ac25ee1903a8d9e1484c2ac226e08d33,2026-08-24,CN:300432,富临精工,公司终止与合作方共同建设17.5万吨磷酸铁锂项目，改由控股子公司独立承接并推进总投资40亿元、年产35万吨项目；资本投入、产能释放和项目回报责任发生重大变化，值得完整研究。,candidate,,event-a2-20260824-183630
首次研究候选,e7db9ab4ac25ee1903a8d9e1484c2ac226e08d33,2026-08-24,CN:300703,创源股份,公司已完成8350.79万元收购创酷未来90%股权的全部出资，标的装入31家成熟门店、2025年模拟净利润1159.83万元，国内文创业务从产品制造向门店运营扩展，业务结构变化值得完整研究。,candidate,,event-a2-20260824-183630
首次研究候选,e7db9ab4ac25ee1903a8d9e1484c2ac226e08d33,2026-08-24,CN:301633,港迪技术,全资子公司签署约2.3亿元国内外港口智能操控系统合同，金额相对公司现有业务规模重大，且交易对手曾由首发前5%以上股东控制；订单兑现、关联定价、收入确认和现金回收值得完整研究。,candidate,,event-a2-20260824-183630
首次研究候选,ffd394934496fc4ff9a4468fa7d62cc8a80617ed,2026-08-24,CN:003018,金富科技,"公司已锁定以35.18元/股发行8,527,572股、募集约3亿元，资金投向三项液冷板和液冷组件扩产项目；新增股份约占发行前股本3.28%，且资本投入将业务重心由饮料包装显著延伸至液冷散热，触发基线所列业务结构实质变化条件，值得完整研究新增业务订单、产能回报、现金流和普通股摊薄。",candidate,,event-1225493974-1225493979
首次研究候选,0bd4793f95cfed976caa9eda66afa3feb62810c1,2026-08-24,CN:301179,泽宇智能,公司签署协议以4.896亿元现金收购智联新能51%股权；标的2025年收入2.73亿元、净利润0.73亿元，收入约占上市公司同期22.75%，100%股权估值9.6亿元且较净资产增值约529%，交易显著改变业务边界、资本配置和商誉风险。,candidate,,event-a2-20260824-003723
