symbol,name,date,institution,rating,title,source
SZSE:300394,天孚通信,2026-04-08,东吴证券,买入,2025年年报点评：业绩延续高增态势，H股上市契机推进全球产能协同布局,eastmoney_research_report
SZSE:300394,天孚通信,2026-02-10,山西证券,买入,业绩符合预期，1.6T光引擎和CPO、NPO产品放量可期,eastmoney_research_report
SZSE:300394,天孚通信,2026-02-09,华鑫证券,买入,公司事件点评报告：全年利润同比高增，有源无源产品线协同发展,eastmoney_research_report
SZSE:300476,胜宏科技,2026-04-30,开源证券,买入,公司信息更新报告：2026Q1业绩同环比增长，产能建设加快推进中,eastmoney_research_report
SZSE:300476,胜宏科技,2026-04-29,东莞证券,买入,深度报告：卡位优势明显，充分受益AI PCB浪潮,eastmoney_research_report
SZSE:300476,胜宏科技,2026-04-19,中邮证券,买入,高端PCB突破，全球化产能落地,eastmoney_research_report
SZSE:300476,胜宏科技,2026-04-01,东莞证券,买入,2025年报点评：全年业绩高增，AI PCB成长逻辑明确,eastmoney_research_report
SZSE:300476,胜宏科技,2025-11-10,中银证券,买入,AI驱动业绩持续兑现，产能释放拓展远期弹性空间,eastmoney_research_report
SZSE:300502,新易盛,2026-05-27,山西证券,买入,1.6T环比上量将加快，盈利能力继续维持行业领先水平,eastmoney_research_report
SZSE:300502,新易盛,2026-04-26,国金证券,买入,1Q物料与汇兑承压，看好后续1.6T产能释放带来利润增长,eastmoney_research_report
SZSE:300502,新易盛,2026-04-26,开源证券,买入,公司信息更新报告：业绩稳步增长，静待1.6T放量,eastmoney_research_report
SZSE:300502,新易盛,2026-02-02,群益证券,增持,全年利润持续高速增长，800G光模块市场份额预计快速提升,eastmoney_research_report
SZSE:300502,新易盛,2025-11-01,国元证券,买入,2025年三季度报告点评：业绩阶段性承压，下游资本开支高景气,eastmoney_research_report
SZSE:300548,长芯博创,2026-03-11,第一上海证券,,谷歌AI投资核心受益者，品类扩张潜力巨大,eastmoney_research_report
SZSE:300604,长川科技,2026-04-27,东吴证券,买入,2025年报&2026一季报点评：业绩持续高增，充分受益国产替代加速&封测厂扩产,eastmoney_research_report
SZSE:300604,长川科技,2026-04-27,群益证券,增持,测试设备龙头，业绩表现靓丽,eastmoney_research_report
SZSE:300604,长川科技,2026-03-06,东吴证券,买入,盛合晶微核心设备供应商、看好去日化公司份额持续提升,eastmoney_research_report
SZSE:300857,协创数据,2026-03-26,山西证券,买入,25年收入和利润保持高增，智算业务爆发,eastmoney_research_report
SZSE:300857,协创数据,2026-03-26,太平洋,买入,算力业务成为核心增长引擎，投入节奏加速,eastmoney_research_report
SZSE:300857,协创数据,2026-02-05,华鑫证券,买入,公司事件点评报告：公司业绩表现亮眼，AI算力硬件与AI算力服务业务双轮驱动,eastmoney_research_report
SZSE:300857,协创数据,2025-11-07,中航证券,买入,存储基业固本，智算服务开新,eastmoney_research_report
SZSE:300857,协创数据,2025-11-06,山西证券,买入,Q3收入持续高增长，算力业务布局持续加码,eastmoney_research_report
SZSE:301345,涛涛车业,2026-04-29,开源证券,买入,公司信息更新报告：2026Q1业绩延续高增长，继续看好LSEV核心基本盘高增&关注智能新品类逐步落地,eastmoney_research_report
SZSE:301345,涛涛车业,2026-04-24,国金证券,买入,高尔夫球车破圈方兴未艾 稀缺产能叠加多重优势强化竞争壁垒,eastmoney_research_report
SZSE:301345,涛涛车业,2026-04-13,开源证券,买入,公司深度报告：量化角度看美国场外高尔夫球车（LSEV）：需求从佛州向中部等地区蔓延，贸易壁垒下看好公司份额提升,eastmoney_research_report
SZSE:301345,涛涛车业,2026-04-02,太平洋,买入,涛涛车业：2025Q4收入业绩高增，美国市场规模持续快速增长,eastmoney_research_report
SZSE:301345,涛涛车业,2026-04-01,开源证券,买入,公司信息更新报告：2025Q4业绩增长提速，看好LSEV核心基本盘高增&关注智能新品类逐步落地,eastmoney_research_report
SZSE:002916,深南电路,2026-03-26,太平洋,买入,AI算力+存储产品共驱25年业绩超预期增长,eastmoney_research_report
SZSE:002916,深南电路,2026-03-17,中银证券,买入,AI、通信、汽车三轮驱动PCB高增，封装基板加速突破,eastmoney_research_report
SZSE:002916,深南电路,2026-03-16,招银国际,买入,AI-led PCB growth with substrate upside ahead,eastmoney_research_report
SZSE:002916,深南电路,2026-01-04,华安证券,买入,深南电路：AI周期赋能，高端产能持续扩张,eastmoney_research_report
SZSE:002916,深南电路,2025-12-14,中银证券,买入,股权激励显定力信心，AI+存储景气延续,eastmoney_research_report
